Species	Bodyweight	Brainweight	Bodyweight.SEM	Brainweight.SEM
Cow 	2.667452953	2.626340367	0.125037404	0.126616248
Goat 	1.441852176	2.06069784	0.019267812	0.141937011
Guinea Pig 	0.017033339	0.740362689	0.001626478	0.035876931
Diplodocus 	4.068185862	1.698970004	0.101114234	0.134019185
Horse 	2.716837723	2.8162413	0.00367451	0.168774949
Cat 	0.51851394	1.408239965	0.029159309	0.102013334
Gorilla 	2.315970345	2.608526034	0.026812437	0.242946617
Human 	1.792391689	3.120573931	0.036089884	0.231354747
African Elephant 	3.823082797	3.756788199	0.1118842	0.329167094
Rhesus Monkey 	0.832508913	2.252853031	0.046494964	0.146086703
Kangaroo 	1.544068044	1.748188027	0.017479741	0.058698605
Hamster 	-0.920818754	0.1	0.027368989	0.009806578
Mouse 	-1.638272164	-0.397940009	0.068585073	0.023355095
Rabbit 	0.397940009	1.08278537	0.011538538	0.066853061
Sheep 	1.744292983	2.243038049	0.041027285	0.13641432
Chimpanzee 	1.717337583	2.643452676	0.016391673	0.237617805
Brachiosaurus 	4.939519253	2.188928484	0.268568892	0.112037066
Rat 	-0.552841969	0.278753601	0.033749141	0.00187745
Mole 	-0.913640169	0.477121255	0.061688583	0.047685444
Pig 	2.283301229	2.255272505	0.01332593	0.160409926
