Gene	Condition1	Condition2	State
A4GNT	-3.680861	-3.4401355	unchanging
AAAS	4.547958	4.3864126	unchanging
AASDH	3.7190695	3.4787276	unchanging
AATF	5.078472	5.0151916	unchanging
AATK	0.47114208	0.5598642	unchanging
AB015752.4	-3.680861	-3.592139	unchanging
ABCA7	3.448422	3.8266509	unchanging
ABCA9-AS1	-3.680861	-3.592139	unchanging
ABCC11	-3.528858	-1.8551732	unchanging
ABCC3	0.93057376	3.260304	up
ABCC5	4.6004252	5.4994435	up
ABCC5-AS1	-3.680861	-3.4401355	unchanging
ABCC6P1	-0.7215031	-0.27021074	unchanging
ABCD1	2.6805956	3.380043	unchanging
ABHD11	4.413656	3.9521816	unchanging
ABI3BP	-1.2069298	-3.592139	unchanging
ABL1	6.358362	6.081465	unchanging
ABLIM2	-1.9438953	-1.1182077	unchanging
ABO	-3.680861	-3.592139	unchanging
ABP1	-3.680861	-3.592139	unchanging
ABTB2	0.55860496	0.46675485	unchanging
AC000036.4	-3.680861	-3.592139	unchanging
AC000123.4	-2.528858	-2.4401357	unchanging
AC002064.5	-3.680861	-3.592139	unchanging
AC002115.7	-3.680861	-3.592139	unchanging
AC002306.1	-3.680861	-1.8551732	unchanging
AC002401.1	0.8634595	1.0192958	unchanging
AC002456.2	-3.680861	-3.592139	unchanging
AC002467.7	-1.528858	-1.4401357	unchanging
AC002472.13	-3.680861	-3.592139	unchanging
AC002472.9	-1.9438953	0.019295823	unchanging
AC002480.4	-3.680861	-3.592139	unchanging
AC002553.1	-3.680861	-3.592139	unchanging
AC002992.4	-3.680861	-3.592139	unchanging
AC003077.1	-3.680861	-3.592139	unchanging
AC003084.2	-3.680861	-3.592139	unchanging
AC003088.1	-3.680861	-3.592139	unchanging
AC003665.1	0.27849698	0.5598642	unchanging
AC004009.3	-3.680861	-3.592139	unchanging
AC004012.1	-3.680861	-3.592139	unchanging
AC004014.3	-3.680861	-3.592139	unchanging
AC004051.2	-3.680861	-3.592139	unchanging
AC004054.1	-3.680861	-3.592139	unchanging
AC004223.1	2.1990626	2.0517173	unchanging
AC004231.2	0.37803268	-1.1182077	unchanging
AC004383.5	-3.680861	-3.592139	unchanging
AC004448.6	-3.680861	-3.592139	unchanging
AC004741.4	-3.528858	-3.4401355	unchanging
AC004744.3	-3.680861	-3.592139	unchanging
AC004837.4	-3.680861	-3.592139	unchanging
AC004837.5	-3.680861	-3.592139	unchanging
AC004862.6	-3.680861	-3.592139	unchanging
AC004869.3	-3.680861	-3.592139	unchanging
AC004870.4	-0.20692979	-3.4401355	unchanging
AC004876.1	-3.680861	-3.592139	unchanging
AC005003.1	0.27849698	0.8817923	unchanging
AC005008.2	-3.680861	-3.592139	unchanging
AC005029.1	-3.680861	-3.592139	unchanging
AC005154.5	-1.9438953	-1.4401357	unchanging
AC005276.1	-3.680861	-3.592139	unchanging
AC005281.2	-3.680861	-3.592139	unchanging
AC005304.1	-3.680861	-3.592139	unchanging
AC005304.2	-1.2069298	-1.1182077	unchanging
AC005484.5	2.3537853	2.417845	unchanging
AC005519.4	-1.2069298	-0.118207715	unchanging
AC005522.7	-3.528858	-3.592139	unchanging
AC005534.8	-3.680861	-1.8551732	unchanging
