Algoritmo,Densidade,N. Vértices,Tempo
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.07s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,250,0.06s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.12s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.14s
kruskal,0.3,500,0.13s
kruskal,0.3,500,0.12s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.29s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.30s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.29s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.28s
kruskal,0.3,1000,0.28s
kruskal,0.3,5000,11.55s
kruskal,0.3,5000,11.57s
kruskal,0.3,5000,11.47s
kruskal,0.3,5000,11.65s
kruskal,0.3,5000,11.56s
kruskal,0.3,5000,11.52s
kruskal,0.3,5000,11.58s
kruskal,0.3,5000,11.54s
kruskal,0.3,5000,11.42s
kruskal,0.3,5000,11.52s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,250,0.06s
kruskal,0.6,500,0.24s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.24s
kruskal,0.6,500,0.24s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.25s
kruskal,0.6,500,0.25s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.59s
kruskal,0.6,1000,0.58s
kruskal,0.6,1000,0.58s
kruskal,0.6,1000,0.58s
kruskal,0.6,1000,0.60s
kruskal,0.6,5000,22.92s
kruskal,0.6,5000,23.01s
kruskal,0.6,5000,23.12s
kruskal,0.6,5000,23.08s
kruskal,0.6,5000,23.04s
kruskal,0.6,5000,23.03s
kruskal,0.6,5000,22.96s
kruskal,0.6,5000,23.39s
kruskal,0.6,5000,23.40s
kruskal,0.6,5000,23.57s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,250,0.10s
kruskal,0.9,500,0.35s
kruskal,0.9,500,0.35s
kruskal,0.9,500,0.35s
kruskal,0.9,500,0.34s
kruskal,0.9,500,0.34s
