Position	Mut1	Mut2	WT
91757273	2.70735385	1.3375	1.25
91757323	2.70735385	1.3	1.25
91757373	5.4147075	1.1375	1.25
91757423	2.70735385	1.575	1.875
91757473	2.70735385	1.1875	1.25
91757523	2.70735385	2.825	2.5
91757573	2.70735385	3.15	3.75
91757623	0	4.05	3.75
91757673	0	2.9375	3.125
91757723	0	2.6875	3.125
91757773	0	2.0625	1.875
91757823	0	1.3125	1.25
91757873	0	1.0375	1.25
91757923	2.70735385	1.66875	1.875
91757973	10.829415	2.9	2.5
91758023	10.829415	3.75	3.75
91758073	10.829415	5.1	5
91758123	8.1220615	5.175	5.625
91758173	8.1220615	6.3	7.5
91758223	0	6.625	6.25
91758273	0	5.6875	6.25
91758323	0	7.0625	6.25
91758373	0	8.0625	9.375
91758423	0	7.875	9.375
91758473	2.70735385	9.2	10
91758523	2.70735385	10.1	10
91758573	5.4147075	10.4125	8.75
91758623	5.4147075	11.0625	9.375
91758673	5.4147075	7.2625	8.75
91758723	5.4147075	9.9375	9.375
91758773	5.4147075	10.625	10.625
91758823	5.4147075	9.4	10
91758873	10.829415	9.1875	8.75
91758923	10.829415	8.36875	8.125
91758973	10.829415	9.975	8.75
91759023	8.1220615	9.8875	8.75
91759073	8.1220615	6.075	7.5
91759123	0	6.66875	6.875
91759173	0	3.63125	4.375
91759223	0	2.7	2.5
91759273	2.70735385	3.3	3.75
91759323	2.70735385	5.90625	5.625
91759373	2.70735385	5.20625	4.375
91759423	2.70735385	6.1875	5.625
91759473	0	5.68125	5.625
91759523	0	4.2875	4.375
91759573	2.70735385	3.675	4.375
91759623	5.4147075	4.35	5
91759673	5.4147075	5.75	6.25
91759723	16.2441235	9.66875	8.125
91759773	16.2441235	8.775	8.125
91759823	16.2441235	7.15	8.125
91759873	18.951477	7.9625	8.75
91759923	16.2441235	8.6125	8.125
91759973	8.1220615	6.05	6.875
91760023	10.829415	6.6	7.5
91760073	18.951477	7.3125	8.125
91760123	21.65883	8.0625	9.375
91760173	24.366185	11.9	10
91760223	21.65883	11.5	12.5
91760273	21.65883	11.1	10
91760323	29.7808915	8.15625	9.375
91760373	21.65883	10.5	10
91760423	24.366185	6.825	8.125
91760473	21.65883	7.65	7.5
91760523	16.2441235	8.81875	10.625
91760573	8.1220615	14.95	14.375
91760623	5.4147075	15.66875	14.375
91760673	5.4147075	17.96875	15.625
91760723	5.4147075	16.8	15
91760773	13.536769	13.4375	15.625
91760823	10.829415	9.85625	11.875
91760873	10.829415	10.1	10
91760923	13.536769	9.9375	9.375
91760973	13.536769	5.25	6.25
91761023	10.829415	9.45625	10.625
91761073	10.829415	14.4375	13.125
91761123	10.829415	16.275	17.5
91761173	5.4147075	20.2125	20.625
91761223	2.70735385	24.0125	21.25
91761273	0	17.05	19.375
91761323	0	20.6	20
91761373	5.4147075	28.025	23.75
91761423	10.829415	22.84375	26.875
91761473	10.829415	27.8875	28.75
91761523	18.951477	39.9125	38.75
91761573	18.951477	37.875	37.5
91761623	13.536769	34.4875	38.75
91761673	8.1220615	41.84375	40.625
91761723	2.70735385	44	40
91761773	2.70735385	43.725	41.25
91761823	2.70735385	37.0125	39.375
91761873	5.4147075	39.41875	33.125
91761923	5.4147075	35.25	37.5
91761973	5.4147075	34.69375	38.125
91762023	2.70735385	43.5	37.5
91762073	2.70735385	42.01875	51.875
91762123	0	51.65625	59.375
91762173	5.4147075	68.15	58.75
91762223	5.4147075	60.9	52.5
91762273	8.1220615	47.6875	43.75
91762323	10.829415	29.8125	28.125
